"id","title","author_name","image_url","text_reviews_count"
"35068945","Educated","Tara Westover","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517554513l/35068945._SX98_.jpg","72371"
"1885","Pride and Prejudice","Jane Austen","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885._SX98_.jpg","71971"
"4671","The Great Gatsby","F. Scott Fitzgerald","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560l/4671._SX98_.jpg","69950"
"1512195","Män som hatar kvinnor (Millennium #1)","Stieg Larsson","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481096266l/1512195._SX98_.jpg","68963"
"12250584","Eleanor & Park","Rainbow Rowell","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404209206l/12250584._SX98_.jpg","66820"
"11387515","Wonder (Wonder, #1)","R.J. Palacio","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545695751l/11387515._SX98_.jpg","66477"
"3636","The Giver (The Giver, #1)","Lois Lowry","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368l/3636._SY160_.jpg","66405"
"136251","Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184l/136251._SX98_.jpg","65983"
"10616322","Allegiant (Divergent, #3)","Veronica Roth","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382789725l/10616322._SX98_.jpg","65966"
"15869749","En man som heter Ove","Fredrik Backman","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346259494l/15869749._SX98_.jpg","65872"
"21526588","Harry ​Potter és az elátkozott gyermek (Harry Potter, #8)","John Tiffany","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471370445l/21526588._SX98_.jpg","65327"
"21853621","The Nightingale","Kristin Hannah","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598993363l/21853621._SX98_.jpg","65208"
"31434883","Eleanor Oliphant Is Completely Fine","Gail Honeyman","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493724347l/31434883._SX98_.jpg","63975"
"256683","City of Bones (The Mortal Instruments, #1)","Cassandra Clare","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315l/256683._SX98_.jpg","62234"
"28187","The Lightning Thief (Percy Jackson and the Olympians, #1)","Rick Riordan","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187._SX98_.jpg","61534"
"10428902","Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)","Ransom Riggs","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327928017l/10428902._SX98_.jpg","61510"
"17333223","The Goldfinch","Donna Tartt","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378710146l/17333223._SX98_.jpg","61385"
"7613","Animal Farm","George Orwell","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424037542l/7613._SX98_.jpg","59827"
"32075486","The Hate U Give","Angie Thomas","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476984755l/32075486._SX98_.jpg","59306"
"5107","The Catcher in the Rye","J.D. Salinger","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107._SX98_.jpg","59292"
"43641","Water for Elephants","Sara Gruen","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494428973l/43641._SX98_.jpg","58950"
"11735983","Insurgent (Divergent, #2)","Veronica Roth","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325667729l/11735983._SX98_.jpg","58930"
"22628","The Perks of Being a Wallflower","Stephen Chbosky","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244l/22628._SX98_.jpg","58102"
"5","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499277281l/5._SY160_.jpg","58023"
"99561","Looking for Alaska","John Green","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394798630l/99561._SX98_.jpg","56499"
"6186357","The Maze Runner (The Maze Runner, #1)","James Dashner","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375596592l/6186357._SX98_.jpg","55964"
"4","Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154604l/4._SX98_.jpg","55286"
"11235712","Cinder (The Lunar Chronicles, #1)","Marissa Meyer","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470056948l/11235712._SX98_.jpg","54799"
"13496","A Game of Thrones (A Song of Ice and Fire, #1)","George R.R. Martin","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496._SY160_.jpg","54726"
